,offertimes,mdm_kl,mdm_time,,lcmnl_kl,lcmnl_time,mnl_kl,,mnl_time,,
0,20,0.002365562,17.19388914,,0.001764595,75.66732001,0.009854966,,0.228111029,,
1,30,0.002214623,6.611323833,,0.001606895,80.47334981,0.0088442,,0.23647213,,
2,40,0.002137914,2.07865119,,0.001501801,94.03155303,0.008114825,,0.259305,,
3,50,0.00142552,0.936282158,,0.001158776,67.06711316,0.006026789,,0.252010107,,
4,60,0.001230108,0.663738966,,0.00093114,71.97435999,0.005081683,,0.236778975,,
5,75,0.000943885,0.534512043,,0.000937054,80.52029991,0.005065066,,0.237867832,,
6,100,0.000954492,0.48494792,,0.000947583,68.13097811,0.004945884,,0.478461981,,
,,,,,,,,,,,
,offertimes,mdm_kl,mdm_time,,lcmnl_kl,,mnl_kl,,idep_kl,,
0,20,0.002365562,17.19,,0.001764595,,0.009854966,,0.181143847,,
1,30,0.002214623,6.61,,0.001606895,,0.0088442,,0.177805671,,
2,40,0.002137914,2.08,,0.001501801,,0.008114825,,0.173900793,,
3,50,0.00142552,0.94,,0.001158776,,0.006026789,,0.16640309,,
4,60,0.001230108,0.66,,0.00093114,,0.005081683,,0.163274851,,
5,75,0.000943885,0.53,,0.000937054,,0.005065066,,0.161508175,,
6,100,0.000954492,0.48,,0.000947583,,0.004945884,,0.162349425,,
,,mdm_kl,mdm_time,,lcmnl_kl,percent,mnl_kl,percent,,,
,,2.365561928,17.19,0.986940976,1.764594529,0.990258601,9.854966092,0.94559591,181.1438474,,
,,2.2146227,6.61,0.987544702,1.606895125,0.990962633,8.844200194,0.950259178,177.8056713,,
,,2.137914002,2.08,0.987706128,1.501800789,0.991364037,8.114824766,0.95333647,173.9007925,,
,,1.425520268,0.94,0.991433331,1.158776114,0.993036331,6.026789099,0.963781988,166.4030899,,
,,1.230108205,0.66,0.992466028,0.93114003,0.994297101,5.081682801,0.968876512,163.2748513,,
,,0.943885011,0.53,0.994155807,0.937053554,0.994198104,5.065066291,0.968638948,161.5081748,,
,,0.954492284,0.48,0.994120754,0.947583194,0.99416331,4.945883816,0.969535563,162.3494252,,
,offertimes,mdm,,,lcmnl,,mnl,,,,
,,loss,time,percent,loss,percent,loss,percent,,,
,20,2.37,17.19,98.69,1.76,99.03,9.85,94.56,,,
,30,2.21,6.61,98.75,1.61,99.10,8.84,95.03,,,
,40,2.14,2.08,98.77,1.50,99.14,8.11,95.33,,,
,50,1.43,0.94,99.14,1.16,99.30,6.03,96.38,,,
,60,1.23,0.66,99.25,0.93,99.43,5.08,96.89,,,
,75,0.94,0.53,99.42,0.94,99.42,5.07,96.86,,,
,100,0.95,0.48,99.41,0.95,99.42,4.95,96.95,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,MDM,,RUM,,MNL,,MCCM,,LC-MNL,
,,dist.,regret,dist.,regret,dist.,regret,dist.,regret,dist.,regret
,,3,4,5,5,4,3,2,2,1,1
,,2,1,5,5,4,4,1,2,3,3
,,3,3,5,5,4,4,1,2,1,1
,,3,3,5,5,4,4,1,1,1,2
,,3,3,4,4,5,5,4,1,1,2
