,offertimes,avg_mdm_kl_loss,avg_mdm_kl_loss_se,mdm_kl_time,avg_mnl_kl_loss,avg_mnl_kl_loss_se,avg_lcmnl_kl_loss,avg_lcmnl_kl_loss_se
0,20,0.002832851,0.000261014,31.14831717,0.019432661,0.000477575,0.001333042,6.55E-05
1,30,0.002340304,0.000366052,4.576694007,0.017297077,0.00048767,0.000826691,4.83E-05
2,40,0.001853655,0.000392379,1.530093799,0.014866921,0.000449491,0.000564053,5.04E-05
3,50,0.000856102,0.000230125,0.722601709,0.012324108,0.000428259,0.000474076,0.000168078
4,60,0.000876107,0.000253982,0.571131492,0.010720686,0.000420842,0.000350651,0.000122934
,,,,,,,,
,,MDM,,,LCMNL,,MNL,
,offertimes,loss,se,time,loss,se,loss,se
,20,2.83,0.26,31.15,19.43,0.48,1.33,0.07
,30,2.34,0.37,4.58,17.30,0.49,0.83,0.05
,40,1.85,0.39,1.53,14.87,0.45,0.56,0.05
,50,0.86,0.23,0.72,12.32,0.43,0.47,0.17
,60,0.88,0.25,0.57,10.72,0.42,0.35,0.12
