,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.882,0.0,0.0020100634098052976,0.02823655915260315
1,200,0.502,0.0,0.005757190227508545,0.04693500399589538
2,300,0.118,0.0,0.012145246505737305,0.0664129445552826
3,400,0.008,0.0,0.018284106492996215,0.08167481184005737
4,500,0.0,0.0,0.026246485710144044,0.10409576725959778
5,600,0.0,0.0,0.03232427501678467,0.11957868885993958
6,700,0.0,0.0,0.04262338948249817,0.14077430605888366
7,800,0.0,0.0,0.051399396419525144,0.15770715355873108
8,900,0.0,0.0,0.0564909257888794,0.16561281728744506
9,1000,0.0,0.0,0.0683783791065216,0.1942940363883972
