,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.998,0.0,0.0020988411903381347,0.042645504236221314
1,200,0.974,0.0,0.005803119897842407,0.06307920861244201
2,300,0.956,0.0,0.010248800039291382,0.07638471484184266
3,400,0.891,0.0,0.01977150297164917,0.13051166534423828
4,500,0.849,0.0,0.025982484102249147,0.16281426787376405
5,600,0.76,0.0,0.02907525587081909,0.17306492376327515
6,700,0.746,0.0,0.04798299479484558,0.2696090679168701
7,800,0.633,0.0,0.0474085214138031,0.2575647578239441
8,900,0.578,0.0,0.04588280534744263,0.2283499336242676
9,1000,0.495,0.0,0.05274905300140381,0.227666535615921
