,collection size,mdm feasibility,mnl feasiblity,mdm runtime,mnl runtime
0,100,0.984,0.0,0.0021789114475250244,0.029931295156478882
1,200,0.928,0.0,0.006643933057785034,0.04628625249862671
2,300,0.851,0.0,0.010114625453948974,0.061906369209289554
3,400,0.777,0.0,0.013654916286468506,0.07118410992622376
4,500,0.661,0.0,0.020970731258392335,0.09094265246391296
5,600,0.528,0.0,0.028087676763534547,0.11270261645317077
6,700,0.435,0.0,0.033368698358535766,0.12542719268798827
7,800,0.318,0.0,0.04071621561050415,0.14402007079124451
8,900,0.223,0.0,0.04739968466758728,0.15891268014907836
9,1000,0.158,0.0,0.060123313903808595,0.18015235018730164
